household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	dryer_heat_source	oven_type	oven_heat_sources	refrigerator_type	display_size	display_type	resolution	washer_load_type
kfarrar@ontomedia.com	1	Adbanonover	Ciprobax		electric							
lbatman@lexiqvolax.com	1	Adbanonover	Frofropefex		gas							
tfarrow@yearin.com	1	Adbanonover	Monerexazz		gas							
misenhower@conecom.com	1	Adbanonover	Monpickar		electric							
ypelkowski@plussunin.com	1	Adbanonover	Surtumexicator		gas							
gmeisel@betatech.com	1	Adcadackor Direct Company						bottom freezer				
gragel@finjob.com	1	Adcadackor Direct Company	Adhupedicator					bottom freezer				
pcaldarera@toughzap.com	1	Adcadackor Direct Company	Inkililantor					chest freezer				
szagen@y-corporation.com	1	Adcadackor Direct Company	Klisapewan					side-by-side				
ttomasulo@nam-zim.com	1	Adcadackor Direct Company	Lomdudupor					top freezer				
vgillaspie@xx-zobam.com	1	Adcadackor Direct Company	Rapkilepicator					french door				
rrhym@bioplex.com	1	Adcadackor Direct Company	Survenor					bottom freezer				
conofrio@treequote.com	1	Adcadackor Direct Company	Tupzapinar					bottom freezer				
tdubaldi@green-plus.com	1	Adcadackor Direct Company	Upkilar					french door				
gpugh@sumace.com	1	Adcadimin International			gas							
aupthegrove@donquadtech.com	1	Adcadimin International	Cipbanar		gas							
bpoquette@zathunicon.com	1	Adcadimin International	Hapfropax		gas							
tperez@golddex.com	1	Adcadimin International	Lomhupewar		electric							
jkohnert@zumgoity.com	1	Adcadimin International	Qwimunantor		gas							
lstorment@goodsilron.com	1	Adcadimin International	Suppickan		gas							
cchaffins@ontomedia.com	1	Adcadimin International	Suptumex		gas							
mdiestel@plexzap.com	1	Adcadimin International	Varquesticator		none							
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	gas		convection	electric;microwave					
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	radiant electric		conventional	electric					
reschberger@hottechi.com	1	Adkililar Holdings Company	Hapquestover			convection	electric;microwave					
clacovara@zumgoity.com	1	Adkililar Holdings Company	Moncadistor			conventional	gas					
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	induction		conventional	electric;gas					
dcookey@plussunin.com	1	Adkililar Holdings Company	Supvenar	induction								
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	induction		convection	electric					
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	gas		conventional	microwave					
cnabours@kinnamplus.com	1	Admunaquax Holdings	Barcadopax						55	LED	2160p (4K)	
gshin@hottechi.com	1	Admunaquax Holdings	Hapmunover						60	LED	2160p (4K)	
dnewville@funholding.com	1	Admunaquax Holdings	Lomvenplax						60	LED	1080p	
lpawlowicz@lexiqvolax.com	1	Admunaquax Holdings	Qwiquestistor						35	plasma	1080p	
gjuhas@opentech.com	1	Admunaquax Holdings	Supjubamover						65	LCD	4320p (8K)	
rgood@domzoom.com	1	Admunaquax Holdings	Winmunower						45	LED	1080p	
nclaucherty@konex.com	1	Admunin WorldWide Corp.	Cipmunantor						35	LED	720p	
bscriven@xx-zobam.com	1	Admunin WorldWide Corp.	Enddimewex						40	LED	576i	
nmalet@sumace.com	1	Admunin WorldWide Corp.	Endpebamin						75	plasma	576i	
ccronauer@fasehatice.com	1	Admunin WorldWide Corp.	Endrobonentor						80	DLP	480i	
ediestel@scotfind.com	1	Admunin WorldWide Corp.	Frotumar						55	LED	2160p (4K)	
cnicolozakes@betatech.com	1	Admunin WorldWide Corp.	Montinanazz						55	LCD	2160p (4K)	
bmauson@ontomedia.com	1	Admunin WorldWide Corp.	Qwitumonax						75	LED	2160p (4K)	
sbrucato@iselectrics.com	1	Admunin WorldWide Corp.	Supmunistor						45	LCD	2160p (4K)	
jahle@dontechi.com	1	Admunin WorldWide Corp.	Thrupickefazz						55	LED	720p	
dbrachle@openlane.com	1	Adniponan  Corp.							50	LCD	4320p (8K)	
yfillingim@lexiqvolax.com	1	Adniponan  Corp.							80	LED	1080p	
scartan@faxquote.com	1	Adniponan  Corp.	Emwerpistor						45	LED	4320p (8K)	
gregusters@finjob.com	1	Adniponan  Corp.	Lomjubanicator						70	plasma	2160p (4K)	
akeneipp@codehow.com	1	Adniponan  Corp.	Tipdimistor						35	LCD	2160p (4K)	
binouye@newex.com	1	Adnipover Holdings						top freezer				
spatak@golddex.com	1	Adnipover Holdings						chest freezer				
fmerced@goodsilron.com	1	Adnipover Holdings	Admunex					chest freezer				
brodefer@faxquote.com	1	Adnipover Holdings	Tipjubexantor					bottom freezer				
jbarfield@faxquote.com	1	Adnipover Holdings	Trunipin					side-by-side				
snicolozakes@inity.com	1	Adpickar International	Cipvenimower					top freezer				
ktegarden@zencorporation.com	1	Adpickar International	Endjubicover					upright freezer				
bboord@betasoloin.com	1	Adpickar International	Grovenan					french door				
aheintzman@stanredtax.com	1	Adpickar International	Raprobicator					side-by-side				
yfrerking@domzoom.com	1	Adpickar International	Unwerplar					bottom freezer				
mgobern@rundofase.com	1	Adpickar International	Zeegliban					chest freezer				
kcaudy@bioholding.com	1	Adpickar International	Zeerobimar					chest freezer				
ischnitzler@zencorporation.com	1	Adpickegentor Holdings		gas								
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	induction		conventional	microwave					
cjillson@warephase.com	1	Adpickegentor Holdings	Barwerpilistor			convection	electric;microwave					
larceo@fasehatice.com	1	Adpickegentor Holdings	Frovenazz			convection	electric					
gyori@gogozoom.com	1	Adpickegentor Holdings	Monwerilantor			conventional	electric;microwave					
hcloney@groovestreet.com	1	Adpickegentor Holdings	Winwerpan			convection	gas;microwave					
csayaphon@lexiqvolax.com	1	Adpickover International	Adpickinazz			convection	electric					
