household_email	bathroom_number	sink_count	bidet_count	commode_count	tub_count	shower_count	tub_shower_count	primary_bathroom	bathroom_name
aabdallah@conecom.com	1	1	0	1	0	1	0	1	
aabdallah@plusstrip.com	1	2	0	1	1	0	0	0	
aabdallah@plusstrip.com	2	1	0	0					game room
aabdallah@plusstrip.com	3	2	0	1	1	0	1	1	
aacey@streethex.com	1	2	0	1					guest
aadkin@hatfan.com	1	1	0	0	0	0	1	0	
aadkin@toughzap.com	1	3	0	1					guest
aagramonte@conecom.com	1	1	0	1	0	1	0	0	
aagramonte@conecom.com	2	1	0	1	1	0	1	0	
aagramonte@conecom.com	3	2	0	1	1	0	1	1	
aagramonte@rundofase.com	1	1	0	0	0	0	1	0	
aagramonte@rundofase.com	2	2	1	1	1	0	0	1	
aagramonte@statholdings.com	1	1	1	1	1	0	0	0	
aamyot@openlane.com	1	1	0	1	1	0	1	0	
aandreason@dambase.com	1	1	0	1	1	0	1	0	
aandreason@dambase.com	2	1	0	1	0	1	0	0	
aandreason@dambase.com	3	1	0	1	0	1	0	0	
aangalich@conecom.com	1	2	0	1	1	0	1	0	
aangalich@conecom.com	2	2	0	0	1	0	0	1	
aangalich@conecom.com	3	2	1	1	1	1	0	0	
aankeny@zoomit.com	1	1	1	1					game room
aaredondo@rangreen.com	1	1	1	1	0	0	1	0	
aaredondo@rangreen.com	2	1	1	1	1	0	1	0	
aasar@ganjaflex.com	1	1	1	1	0	1	0	0	
aasar@ganjaflex.com	2	1	0	1	1	0	0	1	
aauffrey@y-corporation.com	1	1	0	1	0	1	0	0	
aauffrey@y-corporation.com	2	1	1	1	1	0	0	1	
abachman@isdom.com	1	1	0	1					
abachman@sonron.com	1	1	1	1					
abachman@sonron.com	2	1	0	1					basement
abachman@sonron.com	3	1	0	1					powder room
abarfield@rangreen.com	1	2	1	1	1	0	1	0	
abarfield@rangreen.com	2	1	0	1	0	1	0	0	
abarfield@sunnamplex.com	1	1	0	1					
abartolet@hatfan.com	1	2	0	1	0	1	0	1	
abayless@finjob.com	1	1	0	1	0	0	1	1	
abayless@scottech.com	1	1	1	1	0	0	1	0	
abennick@xx-zobam.com	1	2	1	0	0	0	1	1	
abennick@xx-zobam.com	2	1	0	1	1	1	0	0	
abergesen@plusstrip.com	1	1	0	0	0	0	1	1	
abergesen@plusstrip.com	2	1	0	1	0	0	1	0	
aberray@blackzim.com	1	2	0	0					
aberray@blackzim.com	2	2	0	1	1	0	0	1	
abevelacqua@sunnamplex.com	1	2	0	1	1	0	1	0	
abilden@bioholding.com	1	1	0	1					basement
abirkner@scottech.com	1	1	0	0	1	0	0	0	
abirkner@singletechno.com	1	1	0	0					powder room
abirkner@singletechno.com	2	2	0	0	1	1	0	1	
ablunk@labdrill.com	1	1	0	1					
ablunk@labdrill.com	2	1	1	1	0	1	0	0	
abookamer@zumgoity.com	1	1	0	1	0	1	0	0	
aboulter@domzoom.com	1	1	0	1					guest
abourbon@donquadtech.com	1	2	0	0	1	0	0	0	
abourbon@donquadtech.com	2	1	0	1	0	0	1	1	
abourbon@sumace.com	1	1	0	1	0	1	0	1	
abourbon@sumace.com	2	1	0	1					
abourbon@sumace.com	3	1	0	1					game room
abowley@inity.com	1	1	0	0	0	1	1	0	
abreland@konmatfix.com	1	1	0	0	1	0	1	0	
abreland@konmatfix.com	2	2	0	1	0	0	1	0	
abreland@konmatfix.com	3	1	0	1	0	1	0	1	
abreland@konmatfix.com	4	1	0	1	0	1	0	0	
abreland@xx-holding.com	1	3	0	1	1	1	0	0	
abreland@xx-holding.com	2	1	0	1					
abrossart@iselectrics.com	1	2	1	1					game room
abrossart@lexiqvolax.com	1	2	0	0	0	1	0	0	
abrossart@year-job.com	1	2	0	1	0	0	1	0	
abrossart@year-job.com	2	1	1	1					
abubash@zotware.com	1	1	0	1	0	1	1	0	
abuemi@isdom.com	1	2	0	1	0	0	1	0	
abutt@y-corporation.com	1	2	0	1	0	0	1	0	
abutzen@dontechi.com	1	1	0	1					basement
abuvens@nam-zim.com	1	1	0	1	1	0	0	0	
acaiafa@donware.com	1	1	0	1					
acampain@isdom.com	1	1	0	1					game room
acampain@isdom.com	2	1	1	1					guest
acanlas@ontomedia.com	1	2	0	0	0	1	0	1	
acanlas@ontomedia.com	2	1	0	1	0	1	0	0	
acartan@ganjaflex.com	1	1	0	1					basement
acentini@scotfind.com	1	1	0	1	1	0	0	0	
acentini@scotfind.com	2	1	0	1					basement
achavous@bioplex.com	1	2	0	1	0	0	1	1	
achavous@bioplex.com	2	1	0	1	1	0	0	0	
achavous@bioplex.com	3	1	0	0					guest
achavous@bioplex.com	4	3	0	1	1	0	0	0	
achavous@finjob.com	1	1	0	1	0	1	1	0	
achavous@finjob.com	2	1	1	1	1	1	0	0	
achavous@j-texon.com	1	1	0	1	1	0	1	1	
achavous@j-texon.com	2	1	0	1	0	1	1	0	
achavous@plussunin.com	1	1	0	0	1	0	0	0	
achavous@plussunin.com	2	1	1	1	1	0	0	0	
achesterfield@stanredtax.com	1	1	0	1	1	1	0	0	
achesterfield@xx-zobam.com	1	1	0	1	1	1	0	0	
achickering@warephase.com	1	2	0	1	0	0	1	0	
achickering@warephase.com	2	3	1	1	0	0	1	1	
acorbley@betasoloin.com	1	2	0	0	1	0	0	0	
acorrio@green-plus.com	1	2	1	1	0	1	0	0	
acorrio@isdom.com	1	1	0	1	1	0	1	0	
acorrio@isdom.com	2	1	0	1	1	0	0	1	
acorrio@plussunin.com	1	1	0	1	0	1	1	0	
acronauer@j-texon.com	1	1	0	1					
acryer@konmatfix.com	1	2	0	1	0	0	1	1	
acryer@konmatfix.com	2	1	0	1					
adallen@y-corporation.com	1	1	0	1	0	1	0	1	
adallen@y-corporation.com	2	1	0	1					guest
adarakjy@hatfan.com	1	3	1	1	1	0	0	0	
adarakjy@stanredtax.com	1	1	0	1	1	1	0	0	
adarakjy@stanredtax.com	2	2	1	1	0	1	0	1	
adaufeldt@opentech.com	1	1	0	1					guest
adaufeldt@opentech.com	2	1	1	1	1	0	0	0	
adaufeldt@opentech.com	3	2	0	1	0	0	1	1	
adegonia@labdrill.com	1	1	0	1					guest
adegonia@labdrill.com	2	2	0	1	1	0	1	0	
adegroot@toughzap.com	1	1	0	0					guest
adegroot@toughzap.com	2	2	0	1					game room
adeleo@dontechi.com	1	1	0	1	0	0	1	1	
ademesa@cancity.com	1	1	0	1	1	0	1	1	
ademesa@cancity.com	2	1	0	1	1	0	1	0	
adenooyer@opentech.com	1	2	0	1	1	0	1	1	
adenooyer@opentech.com	2	1	0	1	0	1	1	0	
adevreese@green-plus.com	1	1	0	1	1	0	1	0	
adevreese@green-plus.com	2	2	1	1	1	0	1	1	
adewar@ganjaflex.com	1	1	0	1	0	0	1	0	
adewar@yearin.com	1	1	0	1	0	1	1	0	
adickerson@dambase.com	1	1	0	1	1	0	1	1	
adilello@isdom.com	1	1	0	1					guest
adilello@isdom.com	2	1	0	1	0	1	0	0	
adilello@streethex.com	1	1	0	1	0	1	0	1	
adilello@streethex.com	2	1	1	1	0	1	0	0	
adilliard@kan-code.com	1	1	1	1	1	1	0	1	
adilliard@kan-code.com	2	2	1	0	0	0	1	0	
adilliard@kan-code.com	3	1	0	1	1	1	0	0	
adilliard@kan-code.com	4	1	0	1	0	1	1	0	
adilliard@kan-code.com	5	1	0	1	0	1	0	0	
adilliard@kan-code.com	6	2	0	1	0	0	1	0	
adilliard@konex.com	1	2	0	1	1	0	1	0	
adilliard@zumgoity.com	1	1	0	1	0	1	1	0	
adiscipio@ganjaflex.com	1	1	0	1	0	1	1	1	
adiscipio@ganjaflex.com	2	1	0	0					
adiscipio@newex.com	1	1	0	1					
adiscipio@newex.com	2	1	0	1	1	0	0	1	
adopico@scottech.com	1	1	0	1	0	1	0	0	
adopico@scottech.com	2	3	1	1	0	0	1	0	
aemard@singletechno.com	1	2	0	1					guest
aemard@singletechno.com	2	1	0	1					guest
aeschberger@ron-tech.com	1	2	0	1	0	1	0	1	
aeschberger@ron-tech.com	2	1	0	0	0	1	0	0	
afallick@zumgoity.com	1	1	0	1	1	0	1	0	
afarrar@bioholding.com	1	1	0	1	0	0	1	1	
afarrar@warephase.com	1	1	1	1					
afarrar@warephase.com	2	1	0	1	1	0	0	0	
afarrar@year-job.com	1	1	1	1					guest
afarrar@year-job.com	2	1	0	1	0	1	1	0	
afarrow@codehow.com	1	1	0	1	0	0	1	0	
afarrow@codehow.com	2	2	0	1					
afarrow@silis.com	1	2	0	1	0	1	0	0	
afarrow@silis.com	2	1	0	1	0	1	0	0	
aferencz@xx-holding.com	1	1	0	0	1	1	0	0	
afern@kan-code.com	1	1	0	1	0	1	1	0	
afern@kan-code.com	2	3	0	1	0	0	1	0	
afillingim@rantouch.com	1	2	0	1					
afillingim@yearin.com	1	1	0	0					
afishburne@sonron.com	1	1	1	0					guest
aflister@dontechi.com	1	2	0	0					
aflister@dontechi.com	2	1	0	1					basement
aflosi@dontechi.com	1	1	1	1	0	1	0	1	
aflosi@dontechi.com	2	2	0	1	0	1	0	0	
aflosi@kinnamplus.com	1	1	0	0	0	1	0	1	
aflosi@rangreen.com	1	1	0	1					
aflosi@rangreen.com	2	1	0	1					game room
afortino@scottech.com	1	2	0	1					
afortino@scottech.com	2	2	1	1	1	1	0	1	
afortino@scottech.com	3	2	1	1	0	1	0	0	
afortino@scottech.com	4	1	0	1	0	0	1	0	
agalam@zathunicon.com	1	1	0	1	0	0	1	0	
agalam@zathunicon.com	2	2	0	1	0	1	1	0	
agehrett@golddex.com	1	2	0	0					game room
agellinger@dontechi.com	1	3	0	1	0	1	0	1	
agibes@dalttechnology.com	1	1	0	1					
agibes@dalttechnology.com	2	2	1	1					guest
agillaspie@golddex.com	1	2	0	0					game room
agillian@ganjaflex.com	1	1	0	0	1	1	0	0	
