email	household_type	num_occupants	bedroom_count	footage	area_code	phone_number	phone_type	postal_code
aabdallah@conecom.com	house	2	5	1666	795	7543919	other	56176
aabdallah@plusstrip.com	house	4	3	1098	912	4007736	work	72210
aacey@streethex.com	house	2	4	983	131	8179375	mobile	12058
aadkin@hatfan.com	townhome	1	1	392	095	8178012	other	20748
aadkin@toughzap.com	apartment	4	2	545	580	2149685	work	52071
aagramonte@conecom.com	apartment	3	2	802	688	0946456	mobile	92399
aagramonte@rundofase.com	house	1	1	346	469	0249079	home	92863
aagramonte@statholdings.com	apartment	2	2	513	119	1279990	work	53540
aamyot@openlane.com	house	3	4	1308	297	9878026	mobile	82071
aandreason@dambase.com	townhome	6	6	2079	199	5821150	work	12855
aangalich@conecom.com	apartment	4	4	1015	076	3036773	mobile	22015
aankeny@zoomit.com	apartment	2	2	647	276	2496137	other	35079
aaredondo@rangreen.com	apartment	1	2	810	462	5634270	mobile	60611
aasar@ganjaflex.com	mobile home	3	2	921	147	6925441	mobile	41778
aauffrey@y-corporation.com	house	4	2	684	255	7331029	work	08328
abachman@isdom.com	townhome	3	2	693	443	4145652	mobile	81324
abachman@sonron.com	townhome	3	1	468	935	7206339	home	44697
abarfield@rangreen.com	apartment	5	2	619	144	4020387	mobile	35802
abarfield@sunnamplex.com	apartment	4	4	1216	855	6509372	mobile	68980
abartolet@hatfan.com	house	1	2	564	113	2590749	mobile	72501
abayless@finjob.com	house	2	3	1005	921	6866175	mobile	38663
abayless@scottech.com	apartment	1	0	70	125	1716235	mobile	16936
abennick@xx-zobam.com	apartment	5	6	1741	165	7424444	other	07688
abergesen@plusstrip.com	house	2	2	868	694	2814534	home	66960
aberray@blackzim.com	house	2	2	721	367	6772423	work	27288
abevelacqua@sunnamplex.com	house	2	2	725	688	6436809	mobile	07902
abilden@bioholding.com	apartment	2	2	532	188	2162610	work	76252
abirkner@scottech.com	house	2	2	597				32137
abirkner@singletechno.com	condominium	2	2	806	466	2152997	work	66425
ablunk@labdrill.com	mobile home	4	2	714	197	8009942	mobile	97492
abookamer@zumgoity.com	house	1	1	357	185	2801621	mobile	23882
aboulter@domzoom.com	house	3	2	614	922	8230605	mobile	76164
abourbon@donquadtech.com	townhome	3	3	1225				47421
abourbon@sumace.com	apartment	2	3	1218	860	2320997	home	19103
abowley@inity.com	condominium	1	1	419	896	5627003	mobile	23832
abreland@konmatfix.com	house	5	2	853	511	7847687	mobile	05358
abreland@xx-holding.com	apartment	2	2	800	675	2959984	mobile	16027
abrossart@iselectrics.com	house	1	2	565				12749
abrossart@lexiqvolax.com	townhome	1	3	1022	677	9700260	mobile	35240
abrossart@year-job.com	house	4	2	666	623	2497111	home	37770
abubash@zotware.com	house	3	3	941	282	4687121	mobile	28202
abuemi@isdom.com	house	3	3	945	583	4306076	work	45815
abutt@y-corporation.com	house	2	2	710	183	6317203	home	58625
abutzen@dontechi.com	apartment	1	1	367	128	6836196	work	20115
abuvens@nam-zim.com	apartment	1	0	38				37215
acaiafa@donware.com	house	1	1	349	098	8133629	mobile	94502
acampain@isdom.com	mobile home	4	2	569	954	4765835	other	16406
acanlas@ontomedia.com	house	1	3	1033	214	3175512	mobile	79744
acartan@ganjaflex.com	townhome	2	2	638				76070
acentini@scotfind.com	townhome	3	4	1362	687	5138219	work	29828
achavous@bioplex.com	mobile home	4	2	853	193	4123274	mobile	32245
achavous@finjob.com	mobile home	1	2	717	111	5894407	mobile	52576
achavous@j-texon.com	apartment	6	8	2540	583	0978848	work	02815
achavous@plussunin.com	house	1	3	990	073	4847750	mobile	97359
achesterfield@stanredtax.com	apartment	1	1	356				89121
